,unité urbaine,fauteuils,population unité urbaine,pers/faut
0,Abbeville,1720,26131.0,15.192441860465117
1,Abondance,375,3792.0,10.112
2,Acigné,268,6977.0,26.03358208955224
3,Agde,757,29484.0,38.94848084544254
4,Agen,1883,82630.0,43.88210302708444
5,Agon-Coutainville,79,8658.0,109.59493670886076
6,Aigues-Mortes,168,8535.0,50.80357142857143
7,Aiguillon,254,4839.0,19.051181102362204
8,Aime,647,8427.0,13.024729520865533
9,Aire-sur-l'Adour,444,8086.0,18.21171171171171
10,Aizenay,240,9888.0,41.2
11,Ajaccio,2306,71685.0,31.086296617519515
12,Albert,360,9973.0,27.70277777777778
13,Albertville,612,41936.0,68.52287581699346
14,Albi,2142,76988.0,35.942110177404295
15,Alençon,1199,42631.0,35.555462885738116
16,Allevard,241,14861.0,61.66390041493776
17,Altkirch,566,9113.0,16.10070671378092
18,Alès,1309,98263.0,75.0672268907563
19,Ambert,307,7441.0,24.237785016286644
20,Ambérieu-en-Bugey,595,18444.0,30.998319327731092
21,Amiens,3111,167382.0,53.80327868852459
22,Amélie-les-Bains-Palalda,196,6285.0,32.066326530612244
23,Ancenis,549,11405.0,20.774134790528233
24,Andernos-les-Bains,634,19605.0,30.922712933753942
25,Angers,4522,236073.0,52.20544007076515
26,Angoulême,2342,112948.0,48.22715627668659
27,Annecy,4768,177543.0,37.23636744966443
28,Annonay,525,27999.0,53.331428571428575
29,Aoste,147,5924.0,40.29931972789116
30,Apt,432,15319.0,35.460648148148145
31,Argelès-Gazost,363,7138.0,19.663911845730027
32,Argent-sur-Sauldre,126,2122.0,16.841269841269842
33,Argentan,534,15405.0,28.848314606741575
34,Argentat,187,3074.0,16.43850267379679
35,Argenton-sur-Creuse,187,8544.0,45.68983957219251
36,Argentré-du-Plessis,158,4574.0,28.949367088607595
37,Arles,714,54731.0,76.65406162464986
38,Armentières (partie française),865,80174.0,92.68670520231214
39,Arras,1609,89449.0,55.59291485394655
40,Ars-en-Ré,294,4547.0,15.465986394557824
41,Arudy,126,3781.0,30.00793650793651
42,Arzon,246,2165.0,8.800813008130081
43,Aubenas,1475,43339.0,29.38237288135593
44,Aubigny,238,6813.0,28.626050420168067
45,Aubigny-sur-Nère,163,5604.0,34.38036809815951
46,Aubusson,379,3513.0,9.269129287598945
47,Auch,835,26797.0,32.09221556886227
48,Aumale,181,2480.0,13.701657458563536
49,Aunay-sur-Odon,199,4701.0,23.623115577889447
50,Auray,866,30052.0,34.70207852193995
51,Aurillac,1073,33258.0,30.995340167753962
52,Auterive,179,9963.0,55.659217877094974
53,Autun,417,14199.0,34.05035971223022
54,Auxerre,1593,43521.0,27.32015065913371
55,Auxonne,192,7694.0,40.072916666666664
56,Avallon,330,6734.0,20.406060606060606
57,Avesnes-sur-Helpe,234,8086.0,34.55555555555556
58,Avignon,8447,467426.0,55.33633242571327
59,Avranches,617,16403.0,26.58508914100486
60,Baccarat,245,4814.0,19.648979591836735
61,Bagnoles-de-l'Orne,346,3158.0,9.127167630057803
62,Bagnols-sur-Cèze,678,22743.0,33.54424778761062
63,Bagnères-de-Bigorre,116,12839.0,110.68103448275862
64,Bagnères-de-Luchon,378,4044.0,10.698412698412698
65,Baillargues,200,10855.0,54.275
66,Bain-de-Bretagne,294,7498.0,25.503401360544217
67,Balbigny,258,4214.0,16.333333333333332
68,Ballancourt-sur-Essonne,529,35634.0,67.36105860113422
